Phyllum,Subphyllym ,Superclass ,Class ,Subclass ,Superorder,Order,Suborder,Infraorder,Parvorder,Superfamily,Family,Specie,Sitio,Latitud,Longitude,Altitude,Habitat_type,Reference,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella costera Gonzalez & Watling, 2001",La Chimba-1,-24.560,-70.380,3,Wetland,"De los Rios, 2019",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella costera Gonzalez & Watling, 2001",La Chimba-2,-24.560,-70.380,4,Wetland,"De los Rios, 2019",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella costera Gonzalez & Watling, 2001",La Chimba-3,-24.560,-70.380,5,Wetland,"De los Rios, 2019",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Quebrada Zorritas,-24.580,-68.650,4111,Stream,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Quebrada Zorritas,-24.580,-68.650,4103,Stream,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Quebrada Zorritas,-24.580,-68.650,4111,Stream,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Quebrada Zorritas,-24.580,-68.650,4103,Stream,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Quebrada Zorras,-24.580,-68.650,4085,Stream,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Quebrada Zorras,-24.580,-68.650,4078,Stream,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Salar de Punta Negra,-24.580,-68.960,3000,Shallow saline lake,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Salar de Punta Negra,-24.580,-68.960,3000,Shallow saline lake,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella costera Gonzalez & Watling, 2001",Paposo,-25.010,-70.460,0,Wetland,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Salar de Pedernales,-25.110,-68.710,3568,Shallow saline lake,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Salar de Pedernales,-25.110,-68.710,3568,Shallow saline lake,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",La Ola reservoir,-27.350,-70.300,2300,Reservoir,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella costera Gonzalez & Watling, 2001",Los Molles,-29.960,-70.930,0,Stream,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella costera Gonzalez & Watling, 2001",Limache,-32.980,-71.250,0,Stream,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella chiloensis Gonzalez & Watling, 2001",Laguna Redonda,-36.800,-73.060,188,Lagoon,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Laguna Conguillío,-38.630,-71.610,1000,Lagoon,De los Ríos & Romero 2009,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Laguna Captrén,-38.630,-71.700,1100,Lagoon,De los Ríos-Escalante et al. 2012a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Laguna Arcoiris ,-38.670,-71.610,1100,Lagoon,De los Ríos-Escalante et al. 2012a,,,,,
